source,target,weight,synapse_count
13779,14379,9,9
13779,17607,9,9
13779,17704,9,9
13782,17176,9,9
13803,17179,9,9
13812,11532,9,9
13884,28449,9,9
13905,10854,9,9
13908,11406,9,9
13908,155644,9,9
14011,14617,9,9
14011,15238,9,9
14011,17161,9,9
14012,20645,9,9
14012,158242,9,9
14076,10116,9,9
14084,17498,9,9
14084,18230,9,9
14084,23500,9,9
14091,10635,9,9
14091,14230,9,9
14154,219853,9,9
14164,11029,9,9
14164,11162,9,9
14176,11297,9,9
14199,11865,9,9
14214,22896,9,9
14230,10154,9,9
14259,11198,9,9
14261,17433,9,9
14292,12159,9,9
14292,14154,9,9
14292,15562,9,9
14292,18663,9,9
14292,23161,9,9
14314,164383,9,9
14352,11416,9,9
14355,13950,9,9
14355,14214,9,9
14389,23393,9,9
14413,20371,9,9
14432,10227,9,9
14443,11442,9,9
14454,13530,9,9
14454,18611,9,9
14454,25366,9,9
14454,153509,9,9
14481,12151,9,9
14481,22899,9,9
14527,13645,9,9
14527,18664,9,9
14527,19758,9,9
14532,22272,9,9
14532,25897,9,9
14555,15869,9,9
14588,13157,9,9
14588,16374,9,9
14617,10604,9,9
14617,10981,9,9
14617,14011,9,9
14617,14176,9,9
14650,17264,9,9
14650,18520,9,9
14707,19372,9,9
14767,10203,9,9
14767,10403,9,9
14767,11631,9,9
14767,26701,9,9
14788,17188,9,9
14811,18983,9,9
14811,21782,9,9
14874,24578,9,9
14884,21873,9,9
14884,25588,9,9
14941,24883,9,9
14954,19833,9,9
15001,20328,9,9
15001,226276,9,9
15018,16228,9,9
15034,11782,9,9
15034,28884,9,9
15034,29484,9,9
15062,20858,9,9
15066,11442,9,9
15066,25199,9,9
15068,17894,9,9
15078,12591,9,9
15078,13950,9,9
15105,11655,9,9
15115,16328,9,9
15115,166778,9,9
15115,174571,9,9
15125,10067,9,9
15125,17607,9,9
15125,19116,9,9
15125,20462,9,9
15125,24257,9,9
15125,25671,9,9
15125,30466,9,9
15125,169911,9,9
15187,21873,9,9
15187,27092,9,9
15187,164383,9,9
15187,166047,9,9
15192,16286,9,9
15192,17795,9,9
15192,23057,9,9
15192,26594,9,9
15207,19897,9,9
15217,17584,9,9
15250,12187,9,9
15262,12113,9,9
15307,21719,9,9
15331,10554,9,9
15331,20962,9,9
15332,10523,9,9
15332,10604,9,9
15357,10662,9,9
15357,13543,9,9
15357,16438,9,9
15357,16458,9,9
15426,10788,9,9
15426,15540,9,9
15542,10342,9,9
15542,10854,9,9
15542,156857,9,9
15546,10825,9,9
15546,154312,9,9
15562,16282,9,9
15588,17116,9,9
